Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974725,Female,11,ToM 1 Ball,0,152,2,1,0,0,0,108137,272,3,0,1,0,1
974726,Male,12,ToM 1 Ball,108779,925,10,1,0,1,0,108848,448,5,1,1,2,3
974727,Female,8,ToM 1 Ball,108467,630,7,1,0,1,0,108467,424,5,0,1,0,2
974728,Male,9,ToM 1 Ball,107925,388,4,1,1,1,2,108523,163,2,0,1,0,1
974729,Female,7,ToM 1 Ball,108418,318,3,1,0,1,0,108101,493,5,0,1,0,2
974730,Male,11,ToM 1 Ball,108383,383,4,1,0,1,0,108041,271,3,0,1,0,1
974731,Male,8,ToM 1 Ball,100493,3199,35,1,1,1,5,103947,1361,15,1,1,3,4
974732,Male,7,ToM 1 Ball,107884,539,6,1,1,1,2,107961,190,2,0,1,0,1
974733,Male,7,ToM 1 Ball,108592,287,3,1,0,1,0,108592,203,2,0,1,0,1
974734,Female,10,ToM 1 Ball,108461,309,3,1,0,1,0,108084,549,6,0,1,0,2
974735,Female,11,ToM 1 Ball,0,37,0,1,0,0,0,9200,0,0,0,0,0,0
974736,Female,9,ToM 1 Ball,108596,373,4,1,1,1,2,108674,152,2,0,1,0,1
974737,Female,7,ToM 1 Ball,108990,364,4,1,0,1,0,108990,293,3,0,1,0,1
974738,Female,8,ToM 1 Ball,108401,1204,13,1,1,1,2,108036,1165,13,1,1,3,3
974739,Female,11,ToM 1 Ball,0,451,5,1,0,0,0,9200,0,0,0,0,0,0
974740,Male,10,ToM 1 Ball,108464,321,3,1,0,1,0,108125,549,6,0,1,0,2
974741,Male,7,ToM 1 Ball,107866,479,5,1,0,1,0,107830,444,5,0,1,0,2
974742,Female,6,ToM 1 Ball,103427,940,10,1,1,1,2,103427,860,9,1,1,3,4
974743,Female,8,ToM 1 Ball,108420,1048,11,1,1,1,2,108563,849,9,1,1,2,2
974744,Female,6,ToM 1 Ball,108467,502,5,1,0,1,0,108513,364,4,0,1,0,1
974745,Male,9,ToM 1 Ball,0,0,0,0,0,0,0,9200,0,0,0,0,0,0
974746,Male,9,ToM 1 Ball,108053,870,9,1,0,1,0,108131,618,7,0,1,0,2
974747,Male,9,ToM 1 Ball,0,92,1,1,0,0,0,9200,0,0,0,0,0,0
974748,Male,9,ToM 1 Ball,108443,426,5,1,0,1,0,108052,509,6,1,1,2,2
974749,Female,11,ToM 1 Ball,107736,841,9,1,1,1,2,107802,770,8,1,1,2,4
974750,Female,7,ToM 1 Ball,108648,232,3,1,0,1,0,9200,0,0,0,0,0,0
974751,Male,10,ToM 1 Ball,108410,394,4,1,0,1,0,9200,0,0,0,0,0,0
974752,Male,12,ToM 1 Ball,107824,950,10,1,1,1,3,108075,524,6,1,1,2,2
